Sample ID,186.M.C.3,187.M.C.3,191.M.C.3,192.M.C.3,198.M.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
Aspartate,1.662745098,1.613513514,0.715909091,1.375,1.105882353,1.805555556,4.571428571,1.307142857,3.743333333,0.455128205,1.541666667,1.853488372,1.094444444,0.980225989,2.062084257,1.723809524,1.502057613,0.866666667,0.806394316,1.229981378,0.849335303,0.827433628,1.3125,1.440289505,1.695945946,0.821743389,1.104827586,0.852255054,1.528328612,1.997282609,2.058823529,1.260122699,1.700164745,0.985655738
Beta-N-Acetylglucosamine,7.494117647,10.32972973,9.15,12.33611111,2.638235294,4.011111111,4.168571429,4.901428571,15.965,4.792307692,8.958333333,6.253488372,8.280555556,3.478813559,9.77827051,8.178571429,11.10288066,6.55042735,3.952042629,5.156424581,7.562776957,6.278761062,12.31793478,23.00603136,15.23986486,5.627815867,2.586206897,8.842923795,20.05949008,7.275815217,10.74509804,7.171779141,28.98023064,8.30942623
Butyrate,10.70196078,4.459459459,3.202272727,19.675,2.817647059,1.972222222,7.251428571,4.842857143,8.201666667,4.680769231,5.911666667,8.937209302,6.379166667,3.796610169,1.966740576,3.35,2.920438957,1.734188034,0.840142096,2.297020484,1.375184638,6.435103245,5.169836957,3.913148372,3.564189189,3.548481881,6.646896552,0.947122862,1.239376771,5.191576087,1.605392157,1.919018405,1.126853377,1.172131148
Chenodeoxycholic acid,0.017647059,0.467567568,1.677272727,1.891666667,0.176470588,0.85,0.12,0.06,0.181666667,0.162820513,0.553333333,0.246511628,0.025,0.766949153,2.241685144,0.388095238,4.570644719,2.179487179,1.042628774,0.173184358,0.500738552,0.091445428,0.044836957,4.688781665,1.418918919,2.989226249,1.08137931,1.421461897,2.33286119,0.110054348,4.330882353,3.011042945,1.235584843,0.975409836
Cholate,0.003921569,0.027027027,0.047727273,0.013888889,0.355882353,1.177777778,0.025714286,0.008571429,0.01,0.053846154,0.013333333,0.023255814,0.002777778,0.146892655,0.385809313,0.047619048,0.226337449,0.099145299,0.880994671,0.017690875,0.134416544,0.033923304,0.024456522,0.084439083,0.013513514,0.181194907,0.015172414,0.65163297,0.028328612,0.048913043,0.406862745,0.120245399,0.375617792,0.672131148
Choline,1.770588235,2.275675676,0.620454545,1.975,1.194117647,1.983333333,5.9,2.784285714,1.94,0.462820513,2.105,3.376744186,1.191666667,0.995762712,0.516629712,1.092857143,2.556927298,1.18974359,0.319715808,2.861266294,0.366322009,1.626843658,1.519021739,1.20747889,1.197635135,1.39079334,1.051034483,0.306376361,0.378186969,1.96875,0.588235294,0.808588957,0.484349259,0.637295082
Cytidine monophosphate,0.419607843,0.921621622,0.581818182,0.736111111,0.5,1.6,0.92,0.155714286,0.078333333,0.226923077,0.235,0.41627907,0.302777778,0.142655367,0.988913525,0.95,0.17558299,0.099145299,0.738898757,0.094040968,0.389955687,0.252212389,0.198369565,0.20747889,0.599662162,0.200783546,0.252413793,0.732503888,0.23796034,0.157608696,0.892156863,0.157055215,0.268533773,1.098360656
D-Glucose,6.970588235,5.016216216,3.304545455,6.361111111,2.332352941,5.561111111,26.20571429,5.281428571,7.966666667,3.105128205,10.04666667,7.43255814,3.133333333,2.72740113,1.317073171,2.138095238,2.157750343,1.08974359,1.165186501,1.94972067,0.595273264,2.504424779,3.788043478,3.062726176,1.038851351,3.686581783,1.717241379,2.172628305,0.698300283,3.381793478,1.754901961,0.943558282,1.505766063,1.993852459
Dimethylamine,0.003921569,0.032432432,0.047727273,0.022222222,0.467647059,0.211111111,0.2,0.012857143,0.025,0.034615385,0.043333333,0.13255814,0.020833333,0.011299435,0.126385809,0.016666667,0.017832647,0.011111111,0.373001776,0.014897579,0.017725258,0.01179941,0.010869565,0.010856454,0.016891892,0.027424094,0.013793103,0.0155521,0.015580737,0.013586957,0.022058824,0.011042945,0.011532125,0.020491803
Ferulate,0.103921569,0.197297297,0.161363636,0.066666667,0.35,0.666666667,0.102857143,0.052857143,0.088333333,0.132051282,0.088333333,0.090697674,0.1,0.15960452,0.421286031,0.271428571,0.100137174,0.062393162,0.236234458,0.059590317,0.255539143,0.116519174,0.108695652,0.079613993,0.116554054,0.078354554,0.084137931,0.267496112,0.161473088,0.088315217,0.637254902,0.12392638,0.115321252,0.254098361
