"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"295","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"296","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"297","Bacteria","100","Proteobacteria","100","Gammaproteobacteria","100","Pasteurellales","100","Pasteurellaceae","100","Pasteurellaceae_unclassified","100"
"298","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"299","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100"
"300","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"301","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","99","Ruminococcaceae_unclassified","99"
"302","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","95"
"303","Bacteria","100","Firmicutes","100","Negativicutes","100","Selenomonadales","100","Veillonellaceae","100","Megasphaera","100"
"304","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"305","Bacteria","100","Bacteroidetes","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100","Bacteroidetes_unclassified","100"
"306","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"307","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"308","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","95","Porphyromonadaceae_unclassified","95"
"309","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"310","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","85","Firmicutes_unclassified","85","Firmicutes_unclassified","85","Firmicutes_unclassified","85"
"311","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100"
"312","Bacteria","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100","Bacteria_unclassified","100"
